turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
0,11.38384,1,14,18,18,77,72,78,86,93,115,-1,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,-1,-1,-1,-1,-1,100,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,100,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,4,5
1,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,-1,-1,-1,-1,-1,100,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,-1,-1,-1,-1,-1,100,0,0,5,5
2,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,-1,-1,-1,-1,-1,100,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,-1,-1,-1,-1,-1,100,0,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,4,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,-1,-1,-1,-1,100,0,0,5,9
3,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,-1,-1,-1,-1,-1,100,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,654,-1,-1,-1,-1,12,234,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,4,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,194,-1,-1,-1,50,234,0,5,9
4,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,-1,-1,-1,-1,-1,100,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,654,-1,-1,-1,-1,0,234,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,2,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,194,174,-1,-1,56,234,0,5,7
5,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,687,-1,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,654,-1,-1,-1,-1,0,234,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,3,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,194,174,-1,-1,62,234,0,5,8
6,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,100,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,687,-1,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,0,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,654,-1,-1,-1,-1,0,234,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,1,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,194,174,-1,-1,69,234,0,5,6
7,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,0,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,687,-1,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,0,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,654,-1,-1,-1,-1,0,234,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,5,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,194,174,-1,-1,75,234,0,5,10
8,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,100,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,0,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,687,-1,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,0,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,654,-1,-1,-1,-1,0,234,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,0,0,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,194,174,-1,-1,81,234,0,5,5
9,11.38384,1,14,18,18,77,72,78,86,93,115,524,-1,-1,-1,-1,0,0,0,9.88792,1,8,18,18,89,126,86,100,75,94,-1,-1,-1,-1,-1,0,0,0,8.43712,14,7,18,18,110,98,85,120,93,85,687,-1,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,0,0,0,22.98072,13,16,18,18,63,65,106,140,90,66,654,-1,-1,-1,-1,0,234,0,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,0,0,0,0,27.79612,14,9,18,18,85,96,106,88,125,90,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,0.55184,10,3,18,18,46,45,56,106,73,135,-1,-1,-1,-1,-1,100,0,0,23.11484,5,3,18,18,70,78,63,85,66,108,-1,-1,-1,-1,-1,100,0,0,28.56044,4,3,18,18,72,82,83,68,97,78,-1,-1,-1,-1,-1,0,0,0,5.89288,14,9,18,18,91,105,80,96,80,120,175,194,174,-1,-1,81,234,0,5,5
