turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
0,24.42832,13,2,18,18,43,65,144,57,134,31,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,2,9
1,24.42832,13,2,18,18,43,65,144,57,134,31,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,0,9
2,24.42832,13,2,18,18,43,65,144,57,134,31,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,-1,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,0,5
3,24.42832,13,2,18,18,43,65,144,57,134,31,807,-1,-1,-1,-1,67,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,-1,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,4,5
4,24.42832,13,2,18,18,43,65,144,57,134,31,807,-1,-1,-1,-1,67,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,74,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,3,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,-1,-1,-1,-1,100,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,4,8
5,24.42832,13,2,18,18,43,65,144,57,134,31,807,-1,-1,-1,-1,94,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,74,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,-1,-1,-1,67,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,100,0,0,4,5
6,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,-1,-1,-1,94,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,74,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,-1,-1,-1,67,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,-1,-1,-1,-1,-1,94,0,0,5,1
7,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,-1,-1,94,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,74,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,-1,-1,-1,67,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,-1,-1,-1,-1,54,0,0,5,2
8,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,-1,-1,94,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,74,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,96,234,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,-1,-1,-1,67,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,-1,-1,-1,-1,54,0,0,3,3
9,24.42832,13,2,18,18,43,65,144,57,134,31,807,414,641,-1,-1,94,0,4,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,20.03716,15,13,18,18,60,75,60,115,75,105,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,74,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,245,835,-1,-1,-1,74,0,0,7.89304,3,16,18,18,60,86,60,81,53,71,-1,-1,-1,-1,-1,100,0,0,16.3434,0,13,18,18,76,66,63,125,85,100,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,800,-1,-1,-1,-1,90,0,0,7.2066,2,4,18,18,120,88,103,110,80,55,414,641,-1,-1,-1,67,0,0,2.9168,8,9,18,18,90,129,103,73,73,70,151,-1,-1,-1,-1,54,0,0,3,2
